"year","country","population","GDP","gini"
2006,Albania,2992547.0,9767379279.88863,
2007,Albania,2970017.0,10351466806.2388,
2008,Albania,2947314.0,11127823665.7504,30.0
2009,Albania,2927519.0,11500613161.6647,
2010,Albania,2913021.0,11926928505.5231,
2011,Albania,2905195.0,12230507222.1843,
2012,Albania,2900401.0,12403877841.0321,29.0
2013,Albania,2895092.0,12528163103.1195,
2014,Albania,2889104.0,12750473701.7819,34.6
2015,Albania,2880703.0,13033375121.5884,32.9
2016,Albania,2876101.0,13465406059.6498,33.7
2017,Albania,2873457.0,13977387390.5945,33.2
2018,Albania,2866376.0,14546448944.4056,
2006,Andorra,80995.0,3875142516.24022,
2007,Andorra,82682.0,3935330770.25056,
2008,Andorra,83860.0,3716558398.51518,
2009,Andorra,84461.0,3519475009.94299,
2010,Andorra,84454.0,3449966856.68832,
2011,Andorra,83748.0,3449688452.87021,
2012,Andorra,82427.0,3278085642.31738,
2013,Andorra,80770.0,3161792390.29564,
2014,Andorra,79213.0,3240978390.56079,
2015,Andorra,77993.0,3287458570.8604,
2016,Andorra,77295.0,3409412700.51704,
2017,Andorra,76997.0,3421211719.47501,
2018,Andorra,77008.0,3475566750.62972,
2006,Austria,8268641.0,380329113681.259,29.6
2007,Austria,8295487.0,394505559258.526,30.6
2008,Austria,8321496.0,400267011848.042,30.4
2009,Austria,8343323.0,385198647266.611,31.5
2010,Austria,8363404.0,392275107258.667,30.3
2011,Austria,8391643.0,403740513438.199,30.8
2012,Austria,8429991.0,406487747903.707,30.5
2013,Austria,8479823.0,406591421433.927,30.8
2014,Austria,8546356.0,409280100109.633,30.5
2015,Austria,8642699.0,413432253216.039,30.5
2016,Austria,8736668.0,421657228102.472,30.8
2017,Austria,8797566.0,431775262676.529,29.7
2018,Austria,8840521.0,442915585749.024,30.8
2006,Belarus,9604924.0,44266566187.7427,28.3
2007,Belarus,9560953.0,48073493773.2612,29.6
2008,Belarus,9527985.0,52976989868.7029,27.8
2009,Belarus,9506765.0,53082941363.8271,27.7
2010,Belarus,9490583.0,57222490768.7143,28.6
2011,Belarus,9473172.0,60300321142.6581,27.2
2012,Belarus,9464495.0,61317669289.2363,26.5
2013,Belarus,9465997.0,61932974220.8466,26.6
2014,Belarus,9474511.0,63002175707.5323,27.2
2015,Belarus,9489616.0,60589462935.5585,25.6
2016,Belarus,9501534.0,59058702608.9201,25.3
2017,Belarus,9498264.0,60554177331.8333,25.4
2018,Belarus,9483499.0,62461148027.2823,25.2
2006,Belgium,10547958,458677622724.361,28.1
2007,Belgium,10625700,475542653709.135,29.2
2008,Belgium,10709973,477667990477.055,28.4
2009,Belgium,10796493,468015547701.557,28.6
2010,Belgium,10895586,481420882905.001,28.4
2011,Belgium,11038264,489578626676.653,28.1
2012,Belgium,11106932,493197676499.208,27.5
2013,Belgium,11159407,495462648324.133,27.7
2014,Belgium,11209057,503283690440.236,28.1
2015,Belgium,11274196,513558020680.56,27.7
2016,Belgium,11331422,520063190330.958,27.6
2017,Belgium,11375158,528496260419.776,27.4
2018,Belgium,11427054,537945351170.51,27.2
2006,Bosnia and Herzegovina,3765422.0,15729153560.7731,
2007,Bosnia and Herzegovina,3762791.0,16650743291.5849,33.1
2008,Bosnia and Herzegovina,3754261.0,17556851230.7796,
2009,Bosnia and Herzegovina,3735945.0,17029363372.8317,
2010,Bosnia and Herzegovina,3705478.0,17176781336.7644,
2011,Bosnia and Herzegovina,3661173.0,17341594485.6047,33.0
2012,Bosnia and Herzegovina,3604972.0,17199074936.9112,
2013,Bosnia and Herzegovina,3542598.0,17603228545.3329,
2014,Bosnia and Herzegovina,3482106.0,17806343590.1312,
2015,Bosnia and Herzegovina,3429362.0,18356410773.0628,
2016,Bosnia and Herzegovina,3386263.0,18934602269.0509,
2017,Bosnia and Herzegovina,3351534.0,19535100848.8297,
2018,Bosnia and Herzegovina,3323929.0,20265727508.4724,
2006,Bulgaria,7601022.0,45869280338.7161,35.7
2007,Bulgaria,7545338.0,48876966228.4417,36.1
2008,Bulgaria,7492561.0,51851436378.6577,33.6
2009,Bulgaria,7444443.0,50101534229.7147,33.8
2010,Bulgaria,7395599.0,50381825504.2642,35.7
2011,Bulgaria,7348328.0,51568094264.4734,34.3
2012,Bulgaria,7305888.0,51751979375.9177,36.0
2013,Bulgaria,7265115.0,51920571507.3287,36.6
2014,Bulgaria,7223938.0,52899515523.1699,37.4
2015,Bulgaria,7177991.0,55010127749.7693,38.6
2016,Bulgaria,7127822.0,57111753665.4351,40.6
2017,Bulgaria,7075947.0,59112236490.8388,40.4
2018,Bulgaria,7025037.0,60940251461.1954,41.3
2006,Croatia,4311159.0,61197075793.9092,
2007,Croatia,4310217.0,64298314188.4647,
2008,Croatia,4309705.0,65515772483.174,
2009,Croatia,4305181.0,60717700435.3099,32.6
2010,Croatia,4295427.0,59918313669.1671,32.4
2011,Croatia,4280622.0,59799454151.6423,32.3
2012,Croatia,4267558.0,58369186194.0968,32.5
2013,Croatia,4255689.0,58108222128.8461,32.0
2014,Croatia,4238389.0,57909810141.88,32.1
2015,Croatia,4203604.0,59318112197.5722,31.1
2016,Croatia,4174349.0,61393139836.7654,30.9
2017,Croatia,4124531.0,63504583355.145,30.4
2018,Croatia,4087843.0,65287544197.8689,29.7
2006,Denmark,5437272.0,331090561927.791,25.9
2007,Denmark,5461438.0,334100966204.774,26.2
2008,Denmark,5493621.0,332390313313.103,25.2
2009,Denmark,5523095.0,316081423941.657,26.7
2010,Denmark,5547683.0,321995279401.502,27.2
2011,Denmark,5570572.0,326299640707.019,27.3
2012,Denmark,5591572.0,327038708713.874,27.8
2013,Denmark,5614932.0,330091094977.815,28.5
2014,Denmark,5643475.0,335436569740.648,28.4
2015,Denmark,5683483.0,343294476994.931,28.2
2016,Denmark,5728010.0,354437668050.905,28.2
2017,Denmark,5764980.0,364438964537.519,28.7
2018,Denmark,5793636.0,372367867708.325,28.2
2006,Estonia,1346810.0,1403205243.69945,33.7
2007,Estonia,1340680.0,1509478087.87613,31.2
2008,Estonia,1337090.0,1432661648.36718,31.9
2009,Estonia,1334515.0,1225873125.80184,31.4
2010,Estonia,1331475.0,1258853226.89866,32.0
2011,Estonia,1327439.0,1352344121.715,32.5
2012,Estonia,1322696.0,1394405238.91226,32.9
2013,Estonia,1317997.0,1413176509.34604,35.1
2014,Estonia,1314545.0,1455392682.02426,34.6
2015,Estonia,1315407.0,1482243027.71369,32.7
2016,Estonia,1315790.0,1529494224.16303,31.2
2017,Estonia,1317384.0,1613603477.8319,30.4
2018,Estonia,1321977.0,1683883408.75594,30.3
2006,Faroe Islands,47793.0,,
2007,Faroe Islands,47825.0,,
2008,Faroe Islands,47822.0,,
2009,Faroe Islands,47814.0,,
2010,Faroe Islands,47803.0,2320424601.26954,
2011,Faroe Islands,47815.0,,
2012,Faroe Islands,47843.0,,
2013,Faroe Islands,47901.0,,
2014,Faroe Islands,47965.0,,
2015,Faroe Islands,48055.0,,
2016,Faroe Islands,48173.0,,
2017,Faroe Islands,48326.0,,
2018,Faroe Islands,48497.0,,
2006,Finland,5266268.0,247779130164.083,28.0
2007,Finland,5288720.0,260909780066.563,28.3
2008,Finland,5313399.0,262955299855.628,27.8
2009,Finland,5338871.0,241723112398.309,27.5
2010,Finland,5363352.0,249424310816.667,27.7
2011,Finland,5388272.0,255778806281.83,27.6
2012,Finland,5413971.0,252204180501.055,27.1
2013,Finland,5438972.0,249930064696.187,27.2
2014,Finland,5461512.0,249018049503.61,26.8
2015,Finland,5479531.0,250371859068.695,27.1
2016,Finland,5495303.0,257410958145.949,27.1
2017,Finland,5508214.0,265628570361.662,27.4
2018,Finland,5515525.0,269113179058.496,27.3
2006,France,63621376,2601491774613.78,29.7
2007,France,64016227,2664571088541.21,32.4
2008,France,64374979,2671364304886.08,33.0
2009,France,64707035,2594607624904.28,32.7
2010,France,65027505,2645187882116.67,33.7
2011,France,65342789,2703188933543.06,33.3
2012,France,65659814,2711653557481.26,33.1
2013,France,65998685,2727281540260.42,32.5
2014,France,66312067,2753359344138.85,32.3
2015,France,66548272,2784001820060.14,32.7
2016,France,66724104,2814499568997.83,31.9
2017,France,66918020,2878991574857.68,31.6
2018,France,67101930,2930607976267.93,32.4
2006,Germany,82376451,3328325430555.39,31.3
2007,Germany,82266372,3427391543620.05,31.3
2008,Germany,82110097,3460290359872.83,31.1
2009,Germany,81902307,3263267090017.34,30.5
2010,Germany,81776930,3399667820000.01,30.2
2011,Germany,80274983,3533111333252.44,30.5
2012,Germany,80425823,3547897319183.13,30.9
2013,Germany,80645605,3563422609296.38,31.1
2014,Germany,80982500,3642157979491.28,30.9
2015,Germany,81686611,3696496482672.59,31.7
2016,Germany,82348669,3778928349350.17,31.9
2017,Germany,82657002,3877255158232.27,
2018,Germany,82905782,3926418568780.85,
2006,Gibraltar,33420.0,,
2007,Gibraltar,33524.0,,
2008,Gibraltar,33570.0,,
2009,Gibraltar,33562.0,,
2010,Gibraltar,33585.0,,
2011,Gibraltar,33608.0,,
2012,Gibraltar,33653.0,,
2013,Gibraltar,33694.0,,
2014,Gibraltar,33726.0,,
2015,Gibraltar,33742.0,,
2016,Gibraltar,33738.0,,
2017,Gibraltar,33723.0,,
2018,Gibraltar,33715.0,,
2006,Greece,11020362,319132136925.793,35.1
2007,Greece,11048473,329579715229.25,34.0
2008,Greece,11077841,328475055055.053,33.6
2009,Greece,11107017,314348217058.93,33.6
2010,Greece,11121341,297124961971.501,34.1
2011,Greece,11104899,266968814916.016,34.8
2012,Greece,11045011,248061138528.468,36.3
2013,Greece,10965211,241259867501.329,36.1
2014,Greece,10892413,242944211867.598,35.8
2015,Greece,10820883,241943520921.99,36.0
2016,Greece,10775971,240758353595.684,35.0
2017,Greece,10754679,243842046377.8,34.4
2018,Greece,10732882,247643489387.938,32.9
2006,Hungary,10071370,138021450771.415,28.3
2007,Hungary,10055780,138355712640.943,27.9
2008,Hungary,10038188,139819916274.643,27.5
2009,Hungary,10022650,130452605289.135,27.0
2010,Hungary,10000023,131916516051.985,29.4
2011,Hungary,9971727.0,134471881165.37,29.2
2012,Hungary,9920362.0,132615331004.73,30.8
2013,Hungary,9893082.0,135082972930.623,31.5
2014,Hungary,9866468.0,140795565306.983,30.9
2015,Hungary,9843028.0,146173151085.081,30.4
2016,Hungary,9814023.0,149301250250.029,30.3
2017,Hungary,9787966.0,155746258233.436,30.6
2018,Hungary,9775564.0,164156103282.558,29.6
2006,Iceland,303782.0,13826344571.668,30.2
2007,Iceland,311566.0,14995342661.6113,29.5
2008,Iceland,317414.0,15326664220.7095,31.8
2009,Iceland,318499.0,14152057862.8939,28.7
2010,Iceland,318041.0,13751161917.7398,26.2
2011,Iceland,319014.0,14004977998.1585,26.8
2012,Iceland,320716.0,14153940071.0105,26.8
2013,Iceland,323764.0,14798292576.4812,25.4
2014,Iceland,327386.0,15047971591.1662,27.8
2015,Iceland,330815.0,15715599487.2528,26.8
2016,Iceland,335439.0,16706261705.8402,27.2
2017,Iceland,343400.0,17407080835.653,26.1
2018,Iceland,352721.0,18227792282.9059,
2006,Ireland,4273591.0,228618540241.807,32.7
2007,Ireland,4398942.0,240778055809.957,31.9
2008,Ireland,4489544.0,230091285255.947,30.9
2009,Ireland,4535375.0,218414850981.939,32.7
2010,Ireland,4560155.0,222287851794.584,32.3
2011,Ireland,4580084.0,223624003883.013,32.9
2012,Ireland,4599533.0,223909812167.535,33.2
2013,Ireland,4623816.0,226656857706.201,33.5
2014,Ireland,4657740.0,246241019995.408,31.9
2015,Ireland,4701957.0,308235649867.516,31.8
2016,Ireland,4755335.0,314381129555.559,32.8
2017,Ireland,4807388.0,343082365981.679,31.4
2018,Ireland,4867316.0,372300617924.262,
2006,Italy,58143979,2205941135644.34,33.7
2007,Italy,58438310,2238745090235.33,32.9
2008,Italy,58826731,2217208074999.43,33.8
2009,Italy,59095365,2100118708781.5,33.8
2010,Italy,59277417,2136099955236.67,34.7
2011,Italy,59379449,2151209302546.05,35.1
2012,Italy,59539717,2087083780359.59,35.2
2013,Italy,60233948,2048659201948.41,34.9
2014,Italy,60789140,2048566038303.31,34.7
2015,Italy,60730582,2064510116906.73,35.4
2016,Italy,60627498,2091213785858.19,35.2
2017,Italy,60536709,2126092284053.69,35.9
2018,Italy,60421760,2146114485858.04,
2006,Latvia,2218357.0,38970904830.6932,35.6
2007,Latvia,2200325.0,42878556292.9244,37.5
2008,Latvia,2177322.0,41451858072.2391,37.2
2009,Latvia,2141669.0,35540939762.4485,36.0
2010,Latvia,2097555.0,33974713228.7101,35.0
2011,Latvia,2059709.0,36172486448.4331,35.8
2012,Latvia,2034319.0,37710440391.8362,35.2
2013,Latvia,2012647.0,38581617963.9437,35.5
2014,Latvia,1993782.0,38995843365.7812,35.1
2015,Latvia,1977527.0,40558357687.4366,34.2
2016,Latvia,1959537.0,41520776742.7396,34.3
2017,Latvia,1942248.0,42870501056.9186,35.6
2018,Latvia,1927174.0,44595743365.806,35.1
2006,Liechtenstein,34975.0,,
2007,Liechtenstein,35217.0,,
2008,Liechtenstein,35469.0,,
2009,Liechtenstein,35723.0,,
2010,Liechtenstein,35996.0,5082366478.08994,
2011,Liechtenstein,36299.0,,
2012,Liechtenstein,36615.0,,
2013,Liechtenstein,36940.0,,
2014,Liechtenstein,37219.0,,
2015,Liechtenstein,37465.0,,
